t x u
 1.000000 0.000000 0.000000
 1.000000 0.000060 0.000377
 1.000000 0.000120 0.000754
 1.000000 0.000180 0.001131
 1.000000 0.000240 0.001508
 1.000000 0.000300 0.001885
 1.000000 0.000360 0.002262
 1.000000 0.000420 0.002639
 1.000000 0.000480 0.003016
 1.000000 0.000540 0.003393
 1.000000 0.000600 0.003770
 1.000000 0.000660 0.004147
 1.000000 0.000720 0.004524
 1.000000 0.000780 0.004901
 1.000000 0.000840 0.005278
 1.000000 0.000900 0.005655
 1.000000 0.000960 0.006032
 1.000000 0.001020 0.006409
 1.000000 0.001080 0.006786
 1.000000 0.001140 0.007163
 1.000000 0.001200 0.007540
 1.000000 0.001260 0.007917
 1.000000 0.001320 0.008294
 1.000000 0.001380 0.008671
 1.000000 0.001440 0.009048
 1.000000 0.001500 0.009425
 1.000000 0.001560 0.009802
 1.000000 0.001620 0.010179
 1.000000 0.001680 0.010556
 1.000000 0.001740 0.010933
 1.000000 0.001800 0.011309
 1.000000 0.001860 0.011686
 1.000000 0.001920 0.012063
 1.000000 0.001980 0.012440
 1.000000 0.002040 0.012817
 1.000000 0.002100 0.013194
 1.000000 0.002160 0.013571
 1.000000 0.002220 0.013948
 1.000000 0.002280 0.014325
 1.000000 0.002340 0.014702
 1.000000 0.002400 0.015079
 1.000000 0.002460 0.015456
 1.000000 0.002520 0.015833
 1.000000 0.002580 0.016210
 1.000000 0.002640 0.016587
 1.000000 0.002700 0.016964
 1.000000 0.002760 0.017341
 1.000000 0.002820 0.017718
 1.000000 0.002880 0.018095
 1.000000 0.002940 0.018472
 1.000000 0.003000 0.018848
 1.000000 0.003060 0.019225
 1.000000 0.003120 0.019602
 1.000000 0.003180 0.019979
 1.000000 0.003240 0.020356
 1.000000 0.003300 0.020733
 1.000000 0.003360 0.021110
 1.000000 0.003420 0.021487
 1.000000 0.003480 0.021864
 1.000000 0.003540 0.022241
 1.000000 0.003600 0.022618
 1.000000 0.003660 0.022994
 1.000000 0.003720 0.023371
 1.000000 0.003780 0.023748
 1.000000 0.003840 0.024125
 1.000000 0.003900 0.024502
